sepal-length-in-cm,sepal-width-in-cm,petal-length-in-cm,petal-width-in-cm
5.912203521030443,2.303442105437495,-0.00019371309011137483,0.0019887906263135746
5.572075727565303,1.973831035808704,0.23743402498314026,0.09791941654362185
5.446484697064147,2.09653266948368,0.008016253778468707,0.017057259717155493
5.436019242777473,1.8716808490265062,0.01463240952681448,-0.07931887626464335
5.875065552640358,2.3293479850344965,-0.11763858995377205,-0.06248102870522604
6.476990431532734,2.3255259826788026,-0.2448523004231864,-0.02389988905130247
5.515428592806384,2.0715618054720406,-0.2364329937142634,-0.05271207875348538
5.8504229730227815,2.1494801594612953,0.011894425180885057,-0.04630986351887162
5.158512865599191,1.7764265805170294,0.055224633636755796,-0.03168373904517324
5.644581724213518,1.9919059815476234,0.21848943290960526,-0.057184675013471825
6.26482670326809,2.4272794698960842,0.009156440834955634,-0.013300850773100226
5.751504456625036,2.0214240930820964,-0.09346231341177963,-0.15907833699559676
5.480170988763883,1.9797237845333722,0.24152153622590083,-0.009328365485430284
4.950641682304093,2.049477928230733,0.008225593618812053,-0.02682339907586931
6.525285152350439,2.9177484037737957,0.022834404056975136,0.16394060748251155
6.789604842615266,2.8254998972186547,-0.4215936954161306,0.008669944524671847
6.271730056648787,2.609085480602699,-0.2229643703325873,0.16841003829515122
5.928991454772497,2.268966260763715,-0.05422360236787939,0.07689107683530971
6.647574076299497,2.391262139653806,0.026507221788257623,0.030358635711352666
6.094243058501327,2.3615433129210803,-0.26220308137648884,-0.06755937553575564
6.25352038070222,2.122032794295796,0.20071997227561617,-0.01308284391187503
6.073052155574099,2.2725784927011867,-0.24873047182560365,0.03946723418472442
5.369337957518947,2.4985750991619438,-0.2955201720032032,0.0004469153610041632
6.040554930081001,1.8783669968810048,-0.04369433083405788,0.14671185076642962
5.905449737787996,1.8087544696391744,-0.10987826097972897,-0.303310782505437
5.749822720066643,1.8606343827958673,0.27643243797284817,0.03410994869045064
5.935313934227876,2.0096385956327607,-0.10163733589730077,0.05541722706250729
